strain	strain	Data Source	genbank_accession	pango_lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location
KEN/SS8695/2022	KEN/SS8695/2022	Nextstrain	ON814129	BA.2.31	Complete	29903	High	NA	Homo sapiens	2022/5/27	Kenya
KEN/SS8785/2022	KEN/SS8785/2022	Nextstrain	ON844223	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/5/24	Kenya
KEN/SS8928/2022	KEN/SS8928/2022	Nextstrain	ON844257	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/5/30	Kenya
KEN/SS8930/2022	KEN/SS8930/2022	Nextstrain	ON844259	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/30	Kenya
KEN/SS8944/2022	KEN/SS8944/2022	Nextstrain	ON844271	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/6/3	Kenya
KEN/SS8945/2022	KEN/SS8945/2022	Nextstrain	ON844272	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/3	Kenya
KEN/SS8946/2022	KEN/SS8946/2022	Nextstrain	ON844273	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/3	Kenya
KEN/SS8953/2022	KEN/SS8953/2022	Nextstrain	ON844277	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/4	Kenya
KEN/SS8969/2022	KEN/SS8969/2022	Nextstrain	ON844289	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/6/6	Kenya
KEN/SS8998/2022	KEN/SS8998/2022	Nextstrain	ON871843	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/14	Kenya
KEN/SS9022/2022	KEN/SS9022/2022	Nextstrain	ON871854	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/9	Kenya
KEN/SS9024/2022	KEN/SS9024/2022	Nextstrain	ON871855	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/10	Kenya
KEN/SS9027/2022	KEN/SS9027/2022	Nextstrain	ON871858	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/13	Kenya
KEN/SS9030/2022	KEN/SS9030/2022	Nextstrain	ON871859	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/13	Kenya
KEN/SS9042/2022	KEN/SS9042/2022	Nextstrain	ON871865	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/16	Kenya
KEN/SS9044/2022	KEN/SS9044/2022	Nextstrain	ON871867	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/13	Kenya
KEN/SS9063/2022	KEN/SS9063/2022	Nextstrain	ON871874	BA.2	Complete	29903	High	NA	Homo sapiens	2022/6/9	Kenya
KEN/SS9065/2022	KEN/SS9065/2022	Nextstrain	ON871876	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/9	Kenya
KEN/SS9074/2022	KEN/SS9074/2022	Nextstrain	ON871883	BA.2	Complete	29903	High	NA	Homo sapiens	2022/6/3	Kenya
KEN/SS9075/2022	KEN/SS9075/2022	Nextstrain	ON871884	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/10	Kenya
KEN/SS9267/2022	KEN/SS9267/2022	Nextstrain	ON872075	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/5/28	Kenya
KEN/SS9270/2022	KEN/SS9270/2022	Nextstrain	ON872078	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/5/31	Kenya
KEN/SS9274/2022	KEN/SS9274/2022	Nextstrain	ON872081	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/5/27	Kenya
KEN/SS9283/2022	KEN/SS9283/2022	Nextstrain	ON872089	BA.5	Complete	29903	High	NA	Homo sapiens	2022/6/2	Kenya
KEN/SS9292/2022	KEN/SS9292/2022	Nextstrain	ON872094	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/6/7	Kenya
KEN/SS9298/2022	KEN/SS9298/2022	Nextstrain	ON872148	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/7	Kenya
LKA/COV486/2020	LKA/COV486/2020	Nextstrain	MT371050	B	Complete	29903	High	NA	Homo sapiens	2020/3/31	Sri Lanka
LR877182	LR877182	Nextstrain	LR877182	B.1	Complete	29903	High	NA	Homo sapiens	2020/4/26	Sweden
LR884144	LR884144	Nextstrain	LR884144	B.1	Complete	29903	High	NA	Homo sapiens	2020/5/21	Spain
LR963404	LR963404	Nextstrain	LR963404	B.1	Complete	29903	High	NA	Homo sapiens	2020/4/1	Zimbabwe
LR963405	LR963405	Nextstrain	LR963405	B.1	Complete	29903	High	NA	Homo sapiens	2020/6/1	Zimbabwe
LR963420	LR963420	Nextstrain	LR963420	B.1.1.459	Complete	29903	High	NA	Homo sapiens	2020/6/1	Zimbabwe
LR992085	LR992085	Nextstrain	LR992085	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/8/20	Italy
MAR/CNRST131_INH5858/2021	MAR/CNRST131_INH5858/2021	Nextstrain	OL375239	AY.33	Complete	29903	High	NA	Homo sapiens	2021/7/7	Morocco
MAR/Morocco_HMIMV_279CC/2020	MAR/Morocco_HMIMV_279CC/2020	Nextstrain	MW582699	B.1	Complete	29903	High	NA	Homo sapiens	2020/7/1	Morocco
MAR/RMPS02/2020	MAR/RMPS02/2020	Nextstrain	MT731292	B.1	Complete	29903	High	NA	Homo sapiens	2020/4/13	Morocco
MAR/RMPS04/2020	MAR/RMPS04/2020	Nextstrain	MT731327	B.1	Complete	29903	High	NA	Homo sapiens	2020/3/30	Morocco
MEX/4147/2022	MEX/4147/2022	Nextstrain	ON651664	BA.1	Complete	29903	High	NA	Homo sapiens	2022/2/18	Mexico
MEX/7668/2020	MEX/7668/2020	Nextstrain	OL790184	B.1.1.222	Complete	29903	High	NA	Homo sapiens	2020/7/1	Mexico
MLI/M00959/2020	MLI/M00959/2020	Nextstrain	OL448870	A.21	Complete	29903	High	NA	Homo sapiens	2020/6/10	Mali
MLI/UCRC31/2020	MLI/UCRC31/2020	Nextstrain	MW474741	A	Complete	29903	High	NA	Homo sapiens	2020/3/31	Mali
MLI/UCRC68/2020	MLI/UCRC68/2020	Nextstrain	MW474739	B.1	Complete	29903	High	NA	Homo sapiens	2020/3/18	Mali
MLT/Sliema_3/2020	MLT/Sliema_3/2020	Nextstrain	MW079420	B.1.389	Complete	29903	High	NA	Homo sapiens	2020/8/14	Malta
MLT/Sliema_7/2020	MLT/Sliema_7/2020	Nextstrain	MW079424	B.1.389	Complete	29903	High	NA	Homo sapiens	2020/9/5	Malta
MMR/DSMRC019/2021	MMR/DSMRC019/2021	Nextstrain	MZ397175	B.1.617.1	Complete	29903	High	NA	Homo sapiens	2021/6/2	Myanmar
MMR/DSMRC041/2021	MMR/DSMRC041/2021	Nextstrain	OL757803	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/11/8	Myanmar
MNG/10011620/2021	MNG/10011620/2021	Nextstrain	OM190765	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/8/8	Mongolia
MNG/10011850/2022	MNG/10011850/2022	Nextstrain	OM961336	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/11	Mongolia
MNG/10011853/2022	MNG/10011853/2022	Nextstrain	OM961345	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/11	Mongolia
MNG/10011888/2022	MNG/10011888/2022	Nextstrain	OM961366	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/13	Mongolia
MNG/10011900/2022	MNG/10011900/2022	Nextstrain	OM961384	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/15	Mongolia
MNG/10011922/2022	MNG/10011922/2022	Nextstrain	OM961374	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Mongolia
MNG/10011924/2022	MNG/10011924/2022	Nextstrain	OM961381	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Mongolia
MNG/10011926/2022	MNG/10011926/2022	Nextstrain	OM961362	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/13	Mongolia
MNG/10011932/2022	MNG/10011932/2022	Nextstrain	OM961365	AY.126	Complete	29903	High	NA	Homo sapiens	2022/1/13	Mongolia
MNG/10011949/2022	MNG/10011949/2022	Nextstrain	OM961382	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Mongolia
MNG/10011969/2022	MNG/10011969/2022	Nextstrain	OM961373	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Mongolia
MNG/10011970/2022	MNG/10011970/2022	Nextstrain	OM961376	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Mongolia
MNG/3002951737/2021	MNG/3002951737/2021	Nextstrain	ON008228	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/3/8	Mongolia
MNG/3002951747/2021	MNG/3002951747/2021	Nextstrain	ON008279	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/5/8	Mongolia
MW294007	MW294007	Nextstrain	MW294007	B.1.1.203	Complete	29903	High	NA	Homo sapiens	2020/7/20	Ecuador
MW294011	MW294011	Nextstrain	MW294011	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/10/26	Ecuador
MW342708	MW342708	Nextstrain	MW342708	B.1.1.231	Complete	29903	High	NA	Homo sapiens	2020/4/30	Ecuador
MWI/MLW000865/2021	MWI/MLW000865/2021	Nextstrain	ON099944	BA.1.14	Complete	29903	High	NA	Homo sapiens	2021/12/20	Malawi
MWI/MLW000905/2022	MWI/MLW000905/2022	Nextstrain	ON100030	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/6	Malawi
MWI/MLW000909/2022	MWI/MLW000909/2022	Nextstrain	ON100038	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/13	Malawi
MWI/MLW000911/2022	MWI/MLW000911/2022	Nextstrain	ON099875	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/11	Malawi
MWI/MLW000912/2022	MWI/MLW000912/2022	Nextstrain	ON100036	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/12	Malawi
MWI/MLW000922/2022	MWI/MLW000922/2022	Nextstrain	ON100035	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/11	Malawi
MWI/MLW000924/2022	MWI/MLW000924/2022	Nextstrain	ON100037	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/12	Malawi
MWI/MLW001006/2021	MWI/MLW001006/2021	Nextstrain	ON099889	B.1.351	Complete	29903	High	NA	Homo sapiens	2021/1/8	Malawi
MWI/MLW001015/2020	MWI/MLW001015/2020	Nextstrain	ON099877	B.1.351	Complete	29903	High	NA	Homo sapiens	2020/12/23	Malawi
MWI/MLW001170/2022	MWI/MLW001170/2022	Nextstrain	ON100042	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/31	Malawi
MWI/MLW001188/2021	MWI/MLW001188/2021	Nextstrain	ON099802	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/6/21	Malawi
MWI/MLW001207/2022	MWI/MLW001207/2022	Nextstrain	ON099766	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/10	Malawi
MWI/MLW001208/2022	MWI/MLW001208/2022	Nextstrain	ON099767	BA.1	Complete	29903	High	NA	Homo sapiens	2022/2/15	Malawi
MWI/MLW001212/2022	MWI/MLW001212/2022	Nextstrain	ON099765	BA.1.9	Complete	29903	High	NA	Homo sapiens	2022/2/7	Malawi
MWI/MLW001213/2022	MWI/MLW001213/2022	Nextstrain	ON099764	BA.1	Complete	29903	High	NA	Homo sapiens	2022/2/2	Malawi
MWI/MLW00944/2022	MWI/MLW00944/2022	Nextstrain	ON100040	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Malawi
MWI/MLW00955/2022	MWI/MLW00955/2022	Nextstrain	ON100041	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/19	Malawi
MYS/A009635/2022	MYS/A009635/2022	Nextstrain	OM846542	AY.79	Complete	29903	High	NA	Homo sapiens	2022/1/6	Malaysia
MYS/A788668/2022	MYS/A788668/2022	Nextstrain	OM846543	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2022/1/10	Malaysia
MYS/B194806/2022	MYS/B194806/2022	Nextstrain	OM846548	AY.79	Complete	29903	High	NA	Homo sapiens	2022/1/10	Malaysia
MYS/C132/2022	MYS/C132/2022	Nextstrain	ON527307	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/23	Malaysia
MYS/C192/2022	MYS/C192/2022	Nextstrain	ON527310	AY.79	Complete	29903	High	NA	Homo sapiens	2022/1/26	Malaysia
MYS/C210/2022	MYS/C210/2022	Nextstrain	ON527314	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/27	Malaysia
MYS/C275/2022	MYS/C275/2022	Nextstrain	ON527317	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/31	Malaysia
MYS/C277/2022	MYS/C277/2022	Nextstrain	ON527319	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/31	Malaysia
MYS/C28/2022	MYS/C28/2022	Nextstrain	ON527299	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/12	Malaysia
MYS/C41/2022	MYS/C41/2022	Nextstrain	ON527302	AY.79	Complete	29903	High	NA	Homo sapiens	2022/1/13	Malaysia
MYS/C882_172777/2022	MYS/C882_172777/2022	Nextstrain	ON527415	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/16	Malaysia
MYS/D2_260/2022	MYS/D2_260/2022	Nextstrain	ON527293	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/9	Malaysia
MYS/D2_323/2022	MYS/D2_323/2022	Nextstrain	ON527290	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/10	Malaysia
MYS/D266/2022	MYS/D266/2022	Nextstrain	ON527265	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/10	Malaysia
MYS/G8_911223035196/2022	MYS/G8_911223035196/2022	Nextstrain	ON527387	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/18	Malaysia
MYS/H11_20921/2022	MYS/H11_20921/2022	Nextstrain	ON527374	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/28	Malaysia
MYS/H17/2022	MYS/H17/2022	Nextstrain	ON527379	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/3/12	Malaysia
MYS/H24_23258/2022	MYS/H24_23258/2022	Nextstrain	ON527401	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/20	Malaysia
MYS/H30_23503/2022	MYS/H30_23503/2022	Nextstrain	ON527406	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/23	Malaysia
MYS/H33_23762/2022	MYS/H33_23762/2022	Nextstrain	ON527409	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/26	Malaysia
MYS/H39_24295/2022	MYS/H39_24295/2022	Nextstrain	ON652326	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/1	Malaysia
MYS/H44_24609/2022	MYS/H44_24609/2022	Nextstrain	ON652331	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/4	Malaysia
MYS/H49_24736/2022	MYS/H49_24736/2022	Nextstrain	ON652333	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/5	Malaysia
MYS/H51_24851/2022	MYS/H51_24851/2022	Nextstrain	ON652334	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/7	Malaysia
MYS/H58_25376/2022	MYS/H58_25376/2022	Nextstrain	ON631956	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/14	Malaysia
MYS/H62_26060/2022	MYS/H62_26060/2022	Nextstrain	ON651670	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/23	Malaysia
MYS/H64_35401/2022	MYS/H64_35401/2022	Nextstrain	ON651671	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/5/7	Malaysia
MYS/H65_35636/2022	MYS/H65_35636/2022	Nextstrain	ON651672	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/5/9	Malaysia
MYS/H67_35929/2022	MYS/H67_35929/2022	Nextstrain	ON651673	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/12	Malaysia
MYS/H68_36349/2022	MYS/H68_36349/2022	Nextstrain	ON651674	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/5/17	Malaysia
MYS/H69_36713/2022	MYS/H69_36713/2022	Nextstrain	ON651675	BA.2.10.1	Complete	29903	High	NA	Homo sapiens	2022/5/22	Malaysia
MYS/H7_20870/2022	MYS/H7_20870/2022	Nextstrain	ON527371	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/2/28	Malaysia
MYS/H70_36716/2022	MYS/H70_36716/2022	Nextstrain	ON651676	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/22	Malaysia
MYS/K13_3013/2022	MYS/K13_3013/2022	Nextstrain	ON631948	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/5	Malaysia
MYS/K14_3394/2022	MYS/K14_3394/2022	Nextstrain	ON631949	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/4/18	Malaysia
MYS/K15_3763/2022	MYS/K15_3763/2022	Nextstrain	ON631950	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/9	Malaysia
MYS/K16_3858/2022	MYS/K16_3858/2022	Nextstrain	ON651677	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/10	Malaysia
MYS/K17_3800/2022	MYS/K17_3800/2022	Nextstrain	ON651678	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/5/14	Malaysia
MYS/K2/2022	MYS/K2/2022	Nextstrain	ON652354	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/27	Malaysia
MYS/K4/2022	MYS/K4/2022	Nextstrain	ON652356	BA.1	Complete	29903	High	NA	Homo sapiens	2022/3/5	Malaysia
MYS/K8_2243165/2022	MYS/K8_2243165/2022	Nextstrain	ON631944	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/12	Malaysia
MYS/M_C15666/2021	MYS/M_C15666/2021	Nextstrain	OM319614	AY.59	Complete	29903	High	NA	Homo sapiens	2021/12/7	Malaysia
MYS/M_C16096/2022	MYS/M_C16096/2022	Nextstrain	ON527295	AY.79	Complete	29903	High	NA	Homo sapiens	2022/1/10	Malaysia
MYS/M_C16107/2022	MYS/M_C16107/2022	Nextstrain	ON527296	AY.79	Complete	29903	High	NA	Homo sapiens	2022/1/10	Malaysia
MYS/M_N22973/2020	MYS/M_N22973/2020	Nextstrain	OM062558	B.1	Complete	29903	High	NA	Homo sapiens	2020/11/20	Malaysia
MYS/M15_00382/2022	MYS/M15_00382/2022	Nextstrain	ON527396	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/1	Malaysia
MYS/M22_22025614/2022	MYS/M22_22025614/2022	Nextstrain	ON527400	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/17	Malaysia
MYS/M3_00293/2022	MYS/M3_00293/2022	Nextstrain	ON527258	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/14	Malaysia
MYS/M43/2022	MYS/M43/2022	Nextstrain	ON652351	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/3/15	Malaysia
MYS/M46_33744/2022	MYS/M46_33744/2022	Nextstrain	ON631930	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/11	Malaysia
MYS/M5_00281/2022	MYS/M5_00281/2022	Nextstrain	ON527260	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/14	Malaysia
MYS/M57_13459/2022	MYS/M57_13459/2022	Nextstrain	ON631939	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/14	Malaysia
MYS/M60_33967/2022	MYS/M60_33967/2022	Nextstrain	ON651680	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/19	Malaysia
MYS/M65_34146/2022	MYS/M65_34146/2022	Nextstrain	ON651682	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/25	Malaysia
MYS/M7_319/2022	MYS/M7_319/2022	Nextstrain	ON527366	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/2/21	Malaysia
MYS/N5318/2022	MYS/N5318/2022	Nextstrain	ON527330	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/2/9	Malaysia
MYS/NCOV16073/2021	MYS/NCOV16073/2021	Nextstrain	OM062507	B.1.524	Complete	29903	High	NA	Homo sapiens	2021/2/25	Malaysia
Netherlands/Limburg_20/2020	Netherlands/Limburg_20/2020	Nextstrain	LR883411	B.1	Complete	29903	High	NA	Homo sapiens	2020/5/16	Netherlands
NGA/NG57839/2020	NGA/NG57839/2020	Nextstrain	MT994707	B.1.1.487	Complete	29903	High	NA	Homo sapiens	2020/3/22	Nigeria
NZL/20CV0223/2020	NZL/20CV0223/2020	Nextstrain	OK427189	B.1.36	Complete	29903	High	NA	Homo sapiens	2020/8/30	New Zealand
NZL/20CV0224/2020	NZL/20CV0224/2020	Nextstrain	OK426701	B.1.36.18	Complete	29903	High	NA	Homo sapiens	2020/8/30	New Zealand
NZL/20CV0273/2020	NZL/20CV0273/2020	Nextstrain	OK427093	B.1	Complete	29903	High	NA	Homo sapiens	2020/3/23	New Zealand
NZL/20CV0298/2020	NZL/20CV0298/2020	Nextstrain	OK426610	B.1.369	Complete	29903	High	NA	Homo sapiens	2020/3/26	New Zealand
NZL/20CV0311/2020	NZL/20CV0311/2020	Nextstrain	OK426485	B.1.293	Complete	29903	High	NA	Homo sapiens	2020/4/1	New Zealand
NZL/20CV0376/2020	NZL/20CV0376/2020	Nextstrain	OK426830	B.1.160	Complete	29903	High	NA	Homo sapiens	2020/9/27	New Zealand
NZL/20CV0563/2020	NZL/20CV0563/2020	Nextstrain	OK426474	B.1.36	Complete	29903	High	NA	Homo sapiens	2020/11/18	New Zealand
NZL/20CV0606/2020	NZL/20CV0606/2020	Nextstrain	OK426486	B.1.471	Complete	29903	High	NA	Homo sapiens	2020/11/25	New Zealand
NZL/20CV0672/2020	NZL/20CV0672/2020	Nextstrain	OK426440	B.1.2	Complete	29903	High	NA	Homo sapiens	2020/12/17	New Zealand
NZL/20VR0174/2020	NZL/20VR0174/2020	Nextstrain	MZ331872	B.4	Complete	29903	High	NA	Homo sapiens	2020/2/27	New Zealand
NZL/20VR1110/2020	NZL/20VR1110/2020	Nextstrain	MZ331914	B.1	Complete	29903	High	NA	Homo sapiens	2020/3/19	New Zealand
NZL/20VR2563/2020	NZL/20VR2563/2020	Nextstrain	MZ332284	B.1.1.1	Complete	29903	High	NA	Homo sapiens	2020/4/13	New Zealand
NZL/20VR3879/2020	NZL/20VR3879/2020	Nextstrain	OK426767	C.35	Complete	29903	High	NA	Homo sapiens	2020/7/23	New Zealand
NZL/21CV0035/2020	NZL/21CV0035/2020	Nextstrain	OK426763	B.1.565	Complete	29903	High	NA	Homo sapiens	2020/12/31	New Zealand
NZL/21CV0045/2021	NZL/21CV0045/2021	Nextstrain	OK426420	B.1.1.397	Complete	29903	High	NA	Homo sapiens	2021/1/6	New Zealand
NZL/21CV0079/2021	NZL/21CV0079/2021	Nextstrain	OK426546	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/1/5	New Zealand
NZL/21CV0093/2021	NZL/21CV0093/2021	Nextstrain	OK426543	B.1.2	Complete	29903	High	NA	Homo sapiens	2021/1/14	New Zealand
NZL/21CV0263/2021	NZL/21CV0263/2021	Nextstrain	OK426143	AY.39.1.1	Complete	29903	High	NA	Homo sapiens	2021/8/24	New Zealand
NZL/21MV0045/2021	NZL/21MV0045/2021	Nextstrain	OK433640	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/2/1	New Zealand
NZL/21MV0288/2021	NZL/21MV0288/2021	Nextstrain	OK433537	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/4/10	New Zealand
NZL/21MV0340/2021	NZL/21MV0340/2021	Nextstrain	OK433642	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/4/9	New Zealand
NZL/21MV0403/2021	NZL/21MV0403/2021	Nextstrain	OK433535	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/5/3	New Zealand
NZL/21MV0556/2021	NZL/21MV0556/2021	Nextstrain	OK433322	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/6/27	New Zealand
NZL/21MV0630/2021	NZL/21MV0630/2021	Nextstrain	OK433457	AY.82	Complete	29903	High	NA	Homo sapiens	2021/7/20	New Zealand
NZL/21MV1895/2021	NZL/21MV1895/2021	Nextstrain	ON671821	AY.39.1.1	Complete	29903	High	NA	Homo sapiens	2021/10/4	New Zealand
OD917308	OD917308	Nextstrain	OD917308	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/2/25	Poland
OM065367	OM065367	Nextstrain	OM065367	B	Complete	29903	High	NA	Homo sapiens	2020/2/5	China
ON063241	ON063241	Nextstrain	ON063241	BA.1.17	Complete	29903	High	NA	Homo sapiens	2021/12/2	India
ON929909	ON929909	Nextstrain	ON929909	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/20	Pakistan
ON929914	ON929914	Nextstrain	ON929914	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/24	Pakistan
ON929918	ON929918	Nextstrain	ON929918	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/3	Pakistan
ON929920	ON929920	Nextstrain	ON929920	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/29	Pakistan
ON929921	ON929921	Nextstrain	ON929921	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/29	Pakistan
ON929922	ON929922	Nextstrain	ON929922	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/5/31	Pakistan
ON929926	ON929926	Nextstrain	ON929926	BA.5.3.1	Complete	29903	High	NA	Homo sapiens	2022/6/3	Pakistan
ON929935	ON929935	Nextstrain	ON929935	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/6	Pakistan
ON929937	ON929937	Nextstrain	ON929937	BA.5.3.1	Complete	29903	High	NA	Homo sapiens	2022/6/7	Pakistan
ON929939	ON929939	Nextstrain	ON929939	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/6/7	Pakistan
ON929943	ON929943	Nextstrain	ON929943	BA.2	Complete	29903	High	NA	Homo sapiens	2022/6/9	Pakistan
ON929945	ON929945	Nextstrain	ON929945	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/6/9	Pakistan
ON929946	ON929946	Nextstrain	ON929946	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/12	Pakistan
ON929947	ON929947	Nextstrain	ON929947	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/13	Pakistan
ON929948	ON929948	Nextstrain	ON929948	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/13	Pakistan
ON929958	ON929958	Nextstrain	ON929958	BA.2	Complete	29903	High	NA	Homo sapiens	2022/6/14	Pakistan
ON929963	ON929963	Nextstrain	ON929963	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/14	Pakistan
OU026787	OU026787	Nextstrain	OU026787	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/3/9	Poland
OU030273	OU030273	Nextstrain	OU030273	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/2/2	United Kingdom
OU072877	OU072877	Nextstrain	OU072877	B.1	Complete	29903	High	NA	Homo sapiens	2020/5/12	Germany
OU072891	OU072891	Nextstrain	OU072891	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/4/18	Germany
OU076962	OU076962	Nextstrain	OU076962	B.1.177.50	Complete	29903	High	NA	Homo sapiens	2020/8/17	Germany
OU077234	OU077234	Nextstrain	OU077234	C.35	Complete	29903	High	NA	Homo sapiens	2020/12/16	Germany
